customer_id,mb_used,apps_and_websites,start_timestamp,end_timestamp,usage_length
53,1287.14,wix,5/22/2017 15:28,5/22/2017 16:11,0:42:44
36,511.97,gmail,11/28/2017 19:09,11/28/2017 19:55,0:45:57
90,1032.31,coursera,1/29/2017 1:26,1/29/2017 1:55,0:28:57
59,281.53,Twitter,11/2/2018 7:39,11/2/2018 7:53,0:13:52
48,92.44,Bing,2/9/2019 21:44,2/9/2019 21:45,0:01:25
72,1019,Netflix,1/2/2018 2:42,1/2/2018 3:38,0:55:13
6,1014.98,Wikipedia,1/7/2019 22:18,1/7/2019 22:58,0:40:45
71,1268.05,wix,11/10/2018 21:36,11/10/2018 22:32,0:55:28
24,1315.14,wix,3/21/2017 14:43,3/21/2017 14:58,0:14:53
78,1339.41,Blogspot,7/25/2017 12:49,7/25/2017 13:43,0:54:09
98,1319.5,Instagram,4/10/2019 19:10,4/10/2019 20:07,0:56:45
36,960.53,youtube,4/20/2019 13:17,4/20/2019 13:31,0:14:01
9,251.67,wix,8/3/2017 2:40,8/3/2017 3:26,0:45:55
32,446.9,Instagram,12/7/2017 17:36,12/7/2017 18:19,0:42:48
24,666.83,Facebook,7/2/2018 10:11,7/2/2018 10:44,0:32:35
97,137.69,shopify,9/15/2018 2:27,9/15/2018 2:56,0:29:01
39,781.39,gmail,5/3/2017 7:04,5/3/2017 7:41,0:36:12
14,1443.62,Whatsapp,10/12/2018 19:27,10/12/2018 19:53,0:26:10
36,1082.38,gmail,10/8/2017 3:43,10/8/2017 3:58,0:15:44
15,1199.52,wix,6/30/2017 18:24,6/30/2017 18:37,0:12:41
13,1233.96,Blogspot,11/1/2017 9:17,11/1/2017 9:50,0:32:58
27,522.9,bigcommerce,9/3/2018 21:41,9/3/2018 22:32,0:51:50
47,367.48,Bing,7/20/2018 12:24,7/20/2018 12:53,0:29:16
39,240.11,bigcommerce,8/24/2018 19:52,8/24/2018 20:06,0:14:08
95,1308.1,gmail,12/11/2018 21:28,12/11/2018 22:25,0:57:17
7,1326.27,gmail,2/27/2017 6:55,2/27/2017 7:21,0:26:10
50,269.31,Netflix,10/4/2017 5:59,10/4/2017 6:10,0:10:41
15,222.34,wix,4/15/2018 7:30,4/15/2018 8:13,0:42:33
78,68.75,Instagram,8/21/2017 7:50,8/21/2017 7:51,0:00:47
87,1440.54,Whatsapp,12/12/2018 13:49,12/12/2018 14:31,0:41:34
9,749.9,shopify,4/23/2017 2:56,4/23/2017 3:10,0:13:19
21,1320.96,Blogspot,11/12/2018 14:56,11/12/2018 15:34,0:37:25
88,1182.64,wix,1/7/2018 3:25,1/7/2018 4:06,0:40:23
8,496.03,coursera,11/21/2018 0:33,11/21/2018 0:47,0:14:15
27,98.71,Facebook,6/23/2018 4:21,6/23/2018 5:20,0:59:06
65,1440.04,udemy,4/23/2019 21:58,4/23/2019 22:56,0:57:35
51,1271.39,gmail,4/19/2018 14:56,4/19/2018 15:09,0:13:22
68,760.76,gmail,9/3/2017 12:09,9/3/2017 13:07,0:57:44
88,477.05,Twitter,2/4/2018 18:43,2/4/2018 18:58,0:14:31
3,1448.78,shopify,5/20/2017 23:43,5/21/2017 0:25,0:42:04
32,571.03,google,6/7/2017 18:42,6/7/2017 19:36,0:53:25
31,1145.61,shopify,11/13/2017 15:52,11/13/2017 16:38,0:46:31
27,665.69,Bing,10/11/2017 8:09,10/11/2017 9:07,0:58:09
99,508.06,yahoo,11/22/2017 20:58,11/22/2017 21:12,0:14:47
98,1098.83,youtube,1/30/2019 19:36,1/30/2019 19:43,0:06:09
41,643.9,Amazon,3/8/2018 20:17,3/8/2018 20:45,0:28:09
67,1418.31,Instagram,9/15/2017 16:32,9/15/2017 17:30,0:58:18
22,714.51,Bing,2/15/2019 12:32,2/15/2019 12:37,0:04:56
98,407.02,coursera,2/9/2019 17:48,2/9/2019 18:07,0:19:47
84,209.01,youtube,10/22/2017 14:06,10/22/2017 14:41,0:34:50
93,1384.94,google,1/16/2019 11:07,1/16/2019 11:21,0:13:55
33,193.99,Whatsapp,3/1/2018 1:32,3/1/2018 2:23,0:51:42
4,185.86,Amazon,1/29/2019 17:16,1/29/2019 18:02,0:46:35
48,801.6,youtube,8/14/2017 11:20,8/14/2017 12:08,0:48:29
86,987.06,Twitter,12/5/2017 4:13,12/5/2017 4:50,0:36:46
17,819.53,Netflix,3/10/2017 17:54,3/10/2017 18:38,0:43:40
25,1335.21,wix,12/8/2018 23:39,12/9/2018 0:12,0:33:26
39,886.28,bigcommerce,1/3/2019 2:48,1/3/2019 3:40,0:52:20
81,1077.93,coursera,10/12/2017 8:35,10/12/2017 8:56,0:21:45
58,554.35,Amazon,5/11/2017 8:21,5/11/2017 8:58,0:36:50
17,394.57,yahoo,3/17/2017 10:11,3/17/2017 10:11,0:00:01
51,209.39,udemy,2/6/2018 6:21,2/6/2018 7:08,0:47:12
74,1300.68,youtube,8/23/2018 23:12,8/23/2018 23:49,0:36:35
86,836.91,Blogspot,5/17/2017 19:11,5/17/2017 19:23,0:12:18
48,399.59,Whatsapp,5/29/2018 21:46,5/29/2018 22:15,0:28:11
81,287.05,coursera,5/28/2018 7:04,5/28/2018 7:44,0:39:24
55,1179.96,bigcommerce,10/25/2018 3:32,10/25/2018 4:17,0:45:15
49,1171.66,Facebook,6/30/2018 0:03,6/30/2018 0:44,0:40:39
52,540.4,Twitter,12/23/2017 9:01,12/23/2017 9:23,0:22:15
17,969.59,Amazon,3/5/2017 14:56,3/5/2017 15:02,0:05:58
28,1076.07,google,10/6/2018 5:40,10/6/2018 5:44,0:03:32
100,894.11,gmail,4/16/2018 23:12,4/16/2018 23:58,0:46:07
86,443.2,youtube,4/17/2019 19:37,4/17/2019 20:24,0:46:23
43,384.9,snapchat,3/27/2019 19:19,3/27/2019 20:12,0:52:52
61,308.37,wix,9/27/2018 11:16,9/27/2018 12:14,0:58:27
69,1087.01,wix,6/2/2017 12:46,6/2/2017 13:45,0:59:42
79,1076.17,bigcommerce,11/3/2018 16:14,11/3/2018 16:46,0:32:36
32,406.15,Instagram,10/2/2017 14:25,10/2/2017 14:34,0:09:36
70,138.83,Netflix,7/31/2018 2:03,7/31/2018 2:15,0:11:27
43,537.38,Wikipedia,3/1/2018 12:11,3/1/2018 12:22,0:11:08
16,693.31,wix,2/16/2019 22:08,2/16/2019 22:15,0:06:44
25,1220.46,Rediit,5/20/2019 10:04,5/20/2019 10:19,0:15:33
90,758.64,snapchat,4/25/2018 6:56,4/25/2018 7:23,0:26:35
88,933.46,gmail,3/29/2017 4:01,3/29/2017 4:08,0:06:39
89,1392.41,coursera,10/21/2018 1:11,10/21/2018 1:46,0:35:13
70,645.21,shopify,4/18/2018 13:28,4/18/2018 14:25,0:57:27
70,766.86,Twitter,11/23/2017 22:43,11/23/2017 23:25,0:41:55
29,1494.88,coursera,10/5/2017 7:19,10/5/2017 7:54,0:35:48
34,762.87,Blogspot,2/1/2018 20:37,2/1/2018 20:59,0:22:09
24,489.14,Rediit,5/10/2019 20:49,5/10/2019 21:25,0:36:00
70,876.73,Wikipedia,7/24/2017 22:45,7/24/2017 22:56,0:11:28
30,127.85,yahoo,5/27/2019 12:56,5/27/2019 13:48,0:51:53
90,823.44,wix,10/2/2017 18:15,10/2/2017 18:49,0:34:23
29,338.98,udemy,7/16/2017 0:56,7/16/2017 1:00,0:04:01
54,393.77,Instagram,9/23/2017 21:26,9/23/2017 22:12,0:45:54
4,1111.84,google,9/7/2018 2:35,9/7/2018 3:27,0:51:51
71,733.51,gmail,11/4/2018 17:38,11/4/2018 17:39,0:00:21
58,1283.97,Netflix,3/13/2019 1:39,3/13/2019 2:00,0:21:28
20,1406.02,Facebook,12/25/2018 12:49,12/25/2018 13:33,0:43:57
94,343.04,google,7/13/2017 19:42,7/13/2017 20:05,0:23:12
65,1080.12,udemy,6/22/2018 11:37,6/22/2018 11:44,0:07:30
82,599.87,Facebook,2/17/2017 13:30,2/17/2017 13:47,0:17:16
88,869.43,google,1/22/2017 14:56,1/22/2017 15:49,0:53:43
57,123.07,Wikipedia,3/27/2019 12:47,3/27/2019 12:56,0:08:28
83,1462.03,yahoo,7/31/2018 15:31,7/31/2018 16:06,0:34:55
29,1056.52,Whatsapp,11/2/2017 6:02,11/2/2017 6:36,0:34:23
26,884.43,gmail,1/8/2018 1:43,1/8/2018 2:36,0:53:25
58,70.75,bigcommerce,5/26/2019 23:08,5/26/2019 23:47,0:39:16
82,461,yahoo,5/8/2018 7:03,5/8/2018 7:24,0:21:06
95,85.15,Twitter,12/10/2017 7:44,12/10/2017 8:21,0:36:50
18,196.87,udemy,4/17/2018 10:23,4/17/2018 11:01,0:38:29
22,545.45,Rediit,7/30/2018 0:35,7/30/2018 1:25,0:49:36
82,275.81,Bing,4/28/2018 15:20,4/28/2018 16:11,0:51:00
21,508.7,udemy,10/25/2018 20:52,10/25/2018 21:23,0:30:14
84,376.01,Twitter,9/13/2018 22:25,9/13/2018 22:26,0:01:25
59,1014.69,coursera,5/7/2017 18:16,5/7/2017 19:15,0:59:06
30,1024.66,wix,12/27/2017 13:03,12/27/2017 13:39,0:35:50
61,228.56,Rediit,9/8/2017 19:39,9/8/2017 19:44,0:05:06
62,415.73,snapchat,7/14/2017 0:22,7/14/2017 1:07,0:45:44
62,1050.81,udemy,1/23/2018 4:07,1/23/2018 4:55,0:47:13
97,932.91,bigcommerce,4/21/2019 9:07,4/21/2019 9:21,0:14:28
2,933.12,Instagram,8/20/2018 17:00,8/20/2018 17:30,0:29:37
58,175.43,Instagram,2/14/2017 12:02,2/14/2017 12:49,0:46:16
85,756.39,snapchat,2/5/2017 23:16,2/5/2017 23:55,0:38:59
61,1097.32,coursera,12/1/2017 19:52,12/1/2017 20:22,0:30:14
88,161.36,google,7/22/2017 20:43,7/22/2017 20:57,0:14:01
29,852.2,Whatsapp,2/22/2018 17:31,2/22/2018 18:17,0:46:02
64,1132.1,shopify,7/6/2017 15:31,7/6/2017 16:07,0:36:27
8,302.27,Facebook,4/9/2017 0:41,4/9/2017 0:48,0:06:35
88,317.7,shopify,1/1/2018 21:38,1/1/2018 22:07,0:28:32
82,1478.4,snapchat,4/9/2017 7:20,4/9/2017 7:53,0:33:14
100,264.49,gmail,10/21/2018 13:40,10/21/2018 14:17,0:36:43
91,774.76,wix,4/14/2017 13:55,4/14/2017 14:01,0:05:30
7,968.16,Whatsapp,10/16/2017 1:21,10/16/2017 1:23,0:01:56
39,1429.3,gmail,3/2/2019 2:09,3/2/2019 2:32,0:22:56
20,1068.97,Rediit,4/14/2017 1:56,4/14/2017 2:13,0:17:03
85,87.45,Twitter,1/14/2017 8:02,1/14/2017 8:39,0:37:12
85,556.87,bigcommerce,10/4/2018 10:57,10/4/2018 11:24,0:27:21
75,152.57,shopify,1/1/2017 14:47,1/1/2017 15:05,0:17:52
22,626.2,Bing,7/7/2018 12:50,7/7/2018 13:39,0:48:44
11,171.18,youtube,2/8/2019 12:21,2/8/2019 13:12,0:51:19
92,1275.34,Netflix,3/16/2017 12:51,3/16/2017 13:41,0:49:41
30,639.47,yahoo,1/12/2018 17:25,1/12/2018 18:14,0:48:59
78,1359.49,udemy,8/6/2017 5:04,8/6/2017 5:13,0:09:08
58,232.36,Wikipedia,1/27/2017 15:53,1/27/2017 16:20,0:26:15
71,1365.71,Amazon,11/22/2018 19:39,11/22/2018 20:35,0:55:44
35,741.62,Whatsapp,8/27/2017 16:48,8/27/2017 17:25,0:37:16
69,1426.51,snapchat,9/4/2017 4:29,9/4/2017 4:44,0:14:52
35,1231.23,Netflix,6/3/2017 18:53,6/3/2017 19:49,0:55:42
81,587.67,Twitter,3/18/2019 9:41,3/18/2019 10:27,0:45:45
5,1047.91,Bing,6/23/2018 6:31,6/23/2018 7:26,0:54:30
41,518.87,wix,1/29/2019 13:06,1/29/2019 13:54,0:48:04
14,532.68,bigcommerce,12/6/2018 16:10,12/6/2018 16:51,0:41:33
91,621.56,Whatsapp,6/16/2017 13:32,6/16/2017 13:52,0:20:43
33,441.32,Twitter,11/2/2018 11:10,11/2/2018 11:31,0:21:38
70,457.23,coursera,11/1/2018 16:44,11/1/2018 17:29,0:45:50
73,1440.6,Netflix,3/22/2017 7:31,3/22/2017 8:02,0:31:27
29,1232.44,Whatsapp,11/28/2017 6:14,11/28/2017 6:29,0:15:05
55,499.82,Rediit,5/26/2017 8:37,5/26/2017 9:19,0:42:33
46,786.07,wix,3/9/2019 6:36,3/9/2019 7:26,0:50:15
85,755.28,bigcommerce,4/20/2019 21:35,4/20/2019 22:21,0:46:16
38,1327.39,Rediit,12/11/2018 13:38,12/11/2018 13:52,0:13:33
96,1237.52,youtube,6/25/2017 16:25,6/25/2017 17:11,0:45:53
39,145.82,udemy,11/28/2018 7:58,11/28/2018 8:21,0:23:01
61,1251.85,udemy,8/8/2018 15:34,8/8/2018 15:59,0:25:32
10,800.77,Blogspot,7/17/2018 16:59,7/17/2018 17:05,0:05:45
90,404.48,coursera,5/24/2017 9:43,5/24/2017 9:46,0:03:07
64,316.58,google,1/31/2017 17:31,1/31/2017 17:54,0:22:29
1,513.68,coursera,4/8/2017 22:32,4/8/2017 22:42,0:09:32
40,708.54,gmail,11/15/2017 0:11,11/15/2017 1:03,0:52:36
79,1417.15,google,6/21/2018 10:07,6/21/2018 10:41,0:33:58
62,155.63,Whatsapp,7/14/2017 11:04,7/14/2017 11:22,0:17:57
72,235.36,yahoo,5/25/2019 14:48,5/25/2019 14:53,0:04:59
98,1050.1,udemy,2/3/2018 11:31,2/3/2018 12:28,0:57:22
11,1363.73,bigcommerce,2/6/2018 11:09,2/6/2018 12:01,0:52:48
51,430.19,google,6/8/2017 3:42,6/8/2017 4:20,0:37:57
100,77.38,Amazon,9/14/2017 10:23,9/14/2017 10:37,0:13:46
24,1201.78,Wikipedia,6/26/2017 5:25,6/26/2017 6:04,0:38:17
12,751.83,yahoo,3/26/2018 5:07,3/26/2018 5:49,0:41:38
46,497.59,bigcommerce,4/18/2017 18:13,4/18/2017 19:07,0:54:03
15,1441.2,google,6/1/2017 6:23,6/1/2017 6:29,0:06:03
11,637.35,Instagram,3/4/2018 23:24,3/4/2018 23:44,0:20:17
38,1253.5,bigcommerce,2/18/2017 2:34,2/18/2017 2:49,0:15:37
74,136.28,shopify,10/6/2018 13:38,10/6/2018 13:45,0:07:03
99,776.14,bigcommerce,3/4/2019 16:57,3/4/2019 17:47,0:50:27
60,949.34,Bing,5/15/2019 0:00,5/15/2019 0:51,0:51:28
35,881.57,Whatsapp,7/3/2018 6:45,7/3/2018 7:34,0:48:34
94,1304.9,udemy,5/2/2017 6:14,5/2/2017 6:26,0:12:06
39,996.51,youtube,5/15/2017 8:42,5/15/2017 9:34,0:51:51
16,875.58,gmail,12/24/2017 17:49,12/24/2017 17:59,0:09:20
98,208.42,Amazon,11/24/2018 12:30,11/24/2018 13:06,0:36:12
57,1258.03,Netflix,10/22/2017 6:16,10/22/2017 6:47,0:31:14
30,1497.74,Amazon,8/28/2018 17:19,8/28/2018 17:44,0:25:12
37,934.2,Facebook,5/12/2019 22:19,5/12/2019 22:47,0:28:10
66,726.89,udemy,6/13/2018 23:02,6/13/2018 23:22,0:20:04
87,107.01,snapchat,12/27/2017 10:15,12/27/2017 11:11,0:55:36
96,871.16,gmail,11/8/2017 10:16,11/8/2017 11:09,0:53:34
72,298.71,Twitter,1/9/2018 16:36,1/9/2018 16:50,0:14:37
94,1160.88,Wikipedia,5/3/2019 5:16,5/3/2019 6:13,0:57:30
87,272.09,Instagram,11/15/2017 21:10,11/15/2017 21:46,0:36:13
59,1124.54,Twitter,3/24/2018 18:46,3/24/2018 18:50,0:03:53
52,298.82,Amazon,3/19/2017 22:46,3/19/2017 23:46,0:59:25
51,1154.68,wix,10/12/2018 21:15,10/12/2018 22:12,0:56:59
11,790.17,google,6/8/2017 13:52,6/8/2017 14:38,0:45:53
16,1232.48,Instagram,3/5/2017 13:19,3/5/2017 13:27,0:07:54
41,559.39,Amazon,4/22/2017 0:37,4/22/2017 1:21,0:44:20
44,437.77,bigcommerce,6/21/2017 8:35,6/21/2017 9:26,0:50:35
99,69.93,gmail,1/9/2017 2:29,1/9/2017 2:38,0:09:19
70,628.6,Wikipedia,7/23/2017 2:42,7/23/2017 3:06,0:24:03
59,1274.33,Amazon,7/15/2018 18:54,7/15/2018 19:02,0:08:18
36,1306.36,coursera,1/20/2018 2:05,1/20/2018 2:55,0:50:30
45,391.48,google,2/27/2017 7:09,2/27/2017 7:49,0:39:54
11,264.59,gmail,8/1/2017 18:51,8/1/2017 19:44,0:52:22
71,1408.47,Wikipedia,3/16/2019 0:41,3/16/2019 0:56,0:15:03
66,1319.99,Bing,2/8/2018 17:22,2/8/2018 17:41,0:19:21
19,598.87,Facebook,7/10/2017 13:51,7/10/2017 14:51,0:59:47
4,609.07,snapchat,5/20/2017 1:57,5/20/2017 2:22,0:24:39
59,1004.6,Instagram,3/1/2019 16:22,3/1/2019 17:13,0:50:54
62,304.66,Instagram,11/23/2018 14:28,11/23/2018 14:34,0:05:40
64,113.61,coursera,11/15/2018 11:38,11/15/2018 12:36,0:58:13
85,70.72,Amazon,8/1/2018 0:36,8/1/2018 1:26,0:49:16
41,861.06,coursera,12/4/2018 7:49,12/4/2018 8:20,0:30:26
82,1224.72,Wikipedia,6/4/2018 0:13,6/4/2018 0:49,0:35:49
55,966.1,Twitter,2/25/2018 18:21,2/25/2018 18:24,0:03:33
45,816.14,Wikipedia,1/27/2018 0:09,1/27/2018 0:11,0:02:59
54,787.63,youtube,4/24/2018 6:08,4/24/2018 7:02,0:54:02
67,1204.92,Twitter,10/13/2017 18:02,10/13/2017 18:31,0:29:31
68,748.53,Instagram,2/22/2019 20:41,2/22/2019 20:52,0:10:53
24,385.8,Facebook,6/29/2018 0:19,6/29/2018 0:28,0:08:13
56,713.01,wix,7/27/2017 2:51,7/27/2017 3:18,0:27:07
38,246.31,bigcommerce,2/17/2018 14:56,2/17/2018 15:42,0:46:20
4,1195.27,Blogspot,11/9/2017 12:37,11/9/2017 12:54,0:16:48
52,543.11,Amazon,11/16/2017 21:42,11/16/2017 21:44,0:02:09
19,74.85,gmail,9/20/2018 17:04,9/20/2018 17:59,0:54:56
36,973.86,snapchat,10/5/2017 15:08,10/5/2017 15:26,0:18:06
74,244.8,bigcommerce,10/1/2017 3:30,10/1/2017 3:47,0:17:02
65,1185.88,yahoo,1/4/2018 15:36,1/4/2018 16:17,0:40:41
35,800.85,youtube,6/7/2017 6:26,6/7/2017 6:47,0:20:51
83,1494.55,udemy,11/14/2017 1:40,11/14/2017 2:13,0:32:52
6,1313.65,wix,10/6/2017 7:37,10/6/2017 8:15,0:38:41
37,1221.3,Amazon,6/1/2019 6:26,6/1/2019 6:38,0:11:51
66,519.47,youtube,4/4/2017 5:07,4/4/2017 5:55,0:48:24
89,823.11,Twitter,3/31/2018 4:58,3/31/2018 5:43,0:45:07
30,1047.88,snapchat,6/4/2018 8:46,6/4/2018 9:23,0:37:04
65,1416.91,wix,7/19/2017 10:06,7/19/2017 10:29,0:23:03
35,215.03,Wikipedia,5/19/2019 8:59,5/19/2019 9:53,0:53:28
3,288.18,yahoo,4/2/2017 5:44,4/2/2017 6:33,0:49:34
31,183.51,Facebook,5/10/2019 11:32,5/10/2019 12:01,0:28:50
59,951.23,udemy,3/10/2018 17:04,3/10/2018 17:48,0:43:41
7,1051.59,Wikipedia,7/23/2017 4:36,7/23/2017 5:15,0:39:12
97,1057.9,gmail,4/11/2019 21:06,4/11/2019 21:24,0:18:13
36,1432.06,Instagram,3/5/2018 16:50,3/5/2018 17:49,0:59:11
52,983.15,Bing,3/20/2018 3:19,3/20/2018 3:28,0:09:00
30,284.78,Facebook,8/29/2017 7:19,8/29/2017 7:42,0:22:51
76,1164.87,Wikipedia,8/5/2018 10:35,8/5/2018 10:42,0:07:17
50,822.42,Amazon,5/19/2017 14:46,5/19/2017 15:20,0:33:38
8,865.95,Whatsapp,4/24/2018 8:28,4/24/2018 9:10,0:42:28
62,945.93,snapchat,5/5/2019 3:59,5/5/2019 4:05,0:06:43
21,1437.29,Facebook,11/11/2017 16:50,11/11/2017 17:37,0:47:36
57,244.65,Blogspot,3/7/2019 6:27,3/7/2019 6:29,0:01:59
23,773.33,snapchat,11/20/2018 4:33,11/20/2018 4:50,0:16:25
28,1491.2,Facebook,7/13/2018 20:05,7/13/2018 20:55,0:49:58
30,1180.5,snapchat,10/1/2018 3:39,10/1/2018 4:17,0:37:54
71,1335.2,shopify,3/29/2018 9:16,3/29/2018 9:32,0:15:26
67,925.17,Whatsapp,9/20/2017 20:39,9/20/2017 21:14,0:34:23
73,1229.86,Whatsapp,4/29/2017 18:40,4/29/2017 18:53,0:13:52
69,1329.73,Instagram,2/16/2019 0:58,2/16/2019 1:41,0:43:00
14,1329.09,wix,5/29/2017 0:52,5/29/2017 1:48,0:55:57
90,1188.49,Rediit,12/11/2017 1:49,12/11/2017 2:22,0:33:29
40,641.41,youtube,5/14/2018 16:38,5/14/2018 16:51,0:12:46
40,972.96,wix,5/24/2019 8:56,5/24/2019 9:48,0:51:58
80,1381.42,yahoo,1/3/2018 22:58,1/3/2018 23:39,0:40:53
16,739.88,bigcommerce,11/15/2018 18:24,11/15/2018 18:25,0:00:36
13,642.63,Blogspot,5/16/2019 22:04,5/16/2019 22:22,0:17:57
20,1105.51,gmail,1/3/2017 21:06,1/3/2017 21:41,0:35:36
48,245.73,Twitter,6/20/2018 1:57,6/20/2018 2:46,0:48:48
5,682.45,youtube,4/3/2017 22:50,4/3/2017 22:56,0:05:22
19,79.26,Whatsapp,1/6/2019 14:19,1/6/2019 14:29,0:09:35
80,461.46,shopify,6/22/2018 4:49,6/22/2018 5:28,0:39:32
48,946.31,Rediit,1/13/2017 1:13,1/13/2017 1:53,0:39:58
67,447.02,wix,1/3/2018 6:49,1/3/2018 6:55,0:06:09
52,239.99,coursera,1/2/2018 7:31,1/2/2018 8:11,0:40:13
60,1458.58,Netflix,3/19/2019 11:49,3/19/2019 12:01,0:11:15
59,1126.13,bigcommerce,3/17/2018 0:48,3/17/2018 1:42,0:53:29
95,909.39,snapchat,4/10/2019 21:44,4/10/2019 22:24,0:39:54
54,1114.94,snapchat,3/21/2018 17:38,3/21/2018 17:53,0:14:15
40,1313.19,coursera,3/23/2017 7:06,3/23/2017 7:08,0:02:05
13,552.51,Wikipedia,10/5/2017 8:55,10/5/2017 8:55,0:00:16
38,221.61,snapchat,10/2/2018 19:29,10/2/2018 20:23,0:53:45
92,993.46,coursera,4/29/2018 13:07,4/29/2018 13:15,0:07:57
40,269.28,Blogspot,11/25/2018 7:54,11/25/2018 8:15,0:21:10
39,1204.84,Facebook,12/28/2017 5:48,12/28/2017 6:13,0:25:21
57,78.08,Instagram,4/13/2018 20:33,4/13/2018 21:32,0:58:31
75,1059.02,shopify,2/16/2019 15:58,2/16/2019 16:22,0:23:39
85,1407.66,Bing,8/7/2018 5:06,8/7/2018 5:19,0:12:37
30,1089.56,yahoo,9/19/2017 23:35,9/19/2017 23:57,0:21:53
32,742.67,udemy,3/6/2018 12:03,3/6/2018 12:55,0:51:38
84,1004.84,Wikipedia,4/17/2017 5:40,4/17/2017 5:47,0:06:35
1,952.38,Bing,11/27/2017 5:36,11/27/2017 6:22,0:45:34
54,1352.83,bigcommerce,2/28/2018 1:49,2/28/2018 2:43,0:54:25
67,502.77,bigcommerce,10/19/2018 4:36,10/19/2018 5:30,0:54:47
38,585.45,youtube,2/8/2018 0:46,2/8/2018 1:02,0:15:43
84,956.29,Wikipedia,12/27/2017 2:30,12/27/2017 3:09,0:39:19
39,368.76,Twitter,4/7/2018 2:37,4/7/2018 3:30,0:53:31
69,312.96,wix,2/12/2018 11:03,2/12/2018 11:40,0:36:38
41,669.88,Wikipedia,2/19/2017 19:32,2/19/2017 19:35,0:03:21
54,1413.13,google,11/24/2018 12:26,11/24/2018 13:03,0:37:08
15,193,Whatsapp,12/2/2018 12:37,12/2/2018 13:32,0:55:08
51,729.44,udemy,3/19/2017 18:09,3/19/2017 18:13,0:03:21
68,1463.87,Amazon,6/4/2018 13:39,6/4/2018 14:30,0:51:04
77,240.73,gmail,12/22/2017 8:28,12/22/2017 8:58,0:29:57
