internet_id,customer_id,mb_used,apps_and_websites,start_timestamp,end_timestamp
495,51,1271.39,Gmail,4/19/2018 14:56,4/19/2018 15:09
496,51,209.39,Udemy,2/6/2018 6:21,2/6/2018 7:08
497,51,430.19,Google,6/8/2017 3:42,6/8/2017 4:20
498,51,1154.68,Amazon Prime,10/12/2018 21:15,10/12/2018 22:12
499,51,729.44,Udemy,3/19/2017 18:09,3/19/2017 18:13
500,51,1206.2,Whatsapp,3/21/2017 14:04,3/21/2017 14:39
501,51,701.03,Spotify,11/7/2018 19:33,11/7/2018 20:15
502,51,1079.28,Facebook,6/28/2017 21:21,6/28/2017 21:25
503,51,438.79,Wikipedia,11/21/2018 23:50,11/21/2018 23:52
504,51,761.63,Spotify,5/20/2018 8:13,5/20/2018 8:29
505,51,1079.29,Amazon Prime,2/10/2018 4:19,2/10/2018 4:47
506,51,565.75,Udemy,11/21/2018 7:37,11/21/2018 8:23
507,51,1391.75,Google,6/24/2018 10:07,6/24/2018 10:37
508,52,540.4,Twitter,12/23/2017 9:01,12/23/2017 9:23
509,52,298.82,Amazon,3/19/2017 22:46,3/19/2017 23:46
510,52,543.11,Amazon,11/16/2017 21:42,11/16/2017 21:44
511,52,983.15,Spotify,3/20/2018 3:19,3/20/2018 3:28
512,52,239.99,Coursera,1/2/2018 7:31,1/2/2018 8:11
513,52,470.18,Google,11/23/2018 7:02,11/23/2018 7:56
514,52,116.07,Yahoo,5/27/2017 16:40,5/27/2017 16:45
515,52,1414.01,Whatsapp,6/12/2018 18:57,6/12/2018 19:37
516,52,240.24,Netflix,4/2/2017 15:59,4/2/2017 16:17
517,52,190.07,Youtube,3/27/2017 10:27,3/27/2017 10:55
518,53,1287.14,Amazon Prime,5/22/2017 15:28,5/22/2017 16:11
519,53,73.93,Snapchat,12/19/2018 10:28,12/19/2018 11:20
520,53,507.74,Coursera,6/24/2018 18:00,6/24/2018 18:49
521,53,972.18,Amazon,2/7/2019 12:15,2/7/2019 12:44
522,53,689.91,Spotify,2/9/2018 20:10,2/9/2018 20:13
523,53,1041.02,Wikipedia,7/12/2018 15:34,7/12/2018 15:48
524,54,393.77,Instagram,9/23/2017 21:26,9/23/2017 22:12
525,54,787.63,Youtube,4/24/2018 6:08,4/24/2018 7:02
526,54,1114.94,Snapchat,3/21/2018 17:38,3/21/2018 17:53
527,54,1352.83,Spotify,2/28/2018 1:49,2/28/2018 2:43
528,54,1413.13,Google,11/24/2018 12:26,11/24/2018 13:03
529,54,280.38,Uber,2/15/2019 11:54,2/15/2019 12:07
530,54,715.02,Gmail,10/21/2018 11:34,10/21/2018 11:52
531,54,741.2,Gmail,4/3/2018 11:46,4/3/2018 12:26
532,54,1410.27,Uber,8/17/2017 18:27,8/17/2017 19:20
533,54,80.43,Spotify,5/15/2018 11:48,5/15/2018 12:02
534,55,1179.96,Spotify,10/25/2018 3:32,10/25/2018 4:17
535,55,499.82,Rediit,5/26/2017 8:37,5/26/2017 9:19
536,55,966.1,Twitter,2/25/2018 18:21,2/25/2018 18:24
537,55,939.28,Spotify,4/10/2017 3:52,4/10/2017 4:27
538,55,941.64,Amazon Prime,4/9/2019 16:20,4/9/2019 17:14
539,55,159.22,Uber,9/26/2017 13:50,9/26/2017 14:50
540,55,1349.01,Facebook,12/29/2018 17:31,12/29/2018 18:08
541,55,939.16,Facebook,8/23/2018 0:58,8/23/2018 1:28
542,55,1063.13,Udemy,8/20/2017 3:42,8/20/2017 4:19
543,55,393.43,Twitter,4/21/2017 18:22,4/21/2017 18:33
544,55,852.84,Whatsapp,1/6/2019 5:15,1/6/2019 6:05
